company_name,address,city
Capgemini Technology Services India Limited (Dtp),"divyasree techpark sez (b4, b5, a5 & a6) it/ites, doddanakundi post kundalahalli, whitefield, bengaluru, karnataka- 560037",bengaluru
Capgemini Engineering (Global Edge Office),"global village it sez, lane - pattanagere, mylasandra village, off mysore road, rvce post, bengaluru, 560059",bengaluru
Capgemini Engineering (Prestige),"vector block, prestige technology park iii, marathhalli, sarajapur outer ring road, bengaluru, 560103 - karnataka",bengaluru
Capgemini Technology Services India Limited (5B),"rmz ecoworld, campus 5b, 6th floor, rmz ecoworld sez, sarjapur marathhalli outer ring road, varthur hobli, east taluk, bengaluru - 560103karnataka",bengaluru
Capgemini Technology Services India Limited (Epip Campus),"no. no. 155 - 156 (p), 158-162 (p) & 164-170 (p), epip phase ii, whitefield, bengaluru - 560066karnataka",bengaluru
Capgemini Technology Services India Limited,"6b building, pritech park, rmz eco space, marathalli outer ring road, bellandur,bangalore-560103karnataka",bengaluru
Capgemini Technology Services India Limited (Jss),"jss stp, tower -ii (ground, 1st, 2nd, 3rd floor), idco plot no#e-11/1, & e-11/2 infocity, chandrasekhrpur, bhubaneswar-751024, odishabhubaneswar",bhubaneswar
Capgemini Engineering (Asv Chandilya Towers),"asv chandilya towers (2nd to 4th floor), no. 263/3b1a1, door no: 5/397, okkiam thoraipakkam village, rajiv gandhi road (omr) chennai (), 600096",chennai
Capgemini Technology Services India Limited (Sipcot),"sipcot it park, plot no: h-6, old mahabalipuram road siruseri, chennai 603103tamil nadu",chennai
Capgemini Technology Services India Limited (Cpct),"chennai - pct prestige cyber tower, 117, rajiv gandhi salai, omr, karapakkam, chennai - 6000097tamil nadu",chennai
Capgemini Technology Services India Limited (Mipl),"chennai mipl, techno park, plot no.tp 4/1, 4th avenue, sez, mahindra world city, chengalpet, kanchipuram - 603002tamil nadu",chennai
Capgemini Engineering (Hanudev Info Park),"c block, sf no 558/2, udaiyampalayam road, hanudev infopark pvt ltd, nava india641028 - tamil naducoimbatore",coimbatore
Capgemini Technology Services India Ltd.,"fintech one12th & 13th floorblock no. 53, road 5d and 52,zone - 5,village ratanpur, palaj,gift city,gandhinagar - 382355, gujarat",gandhinagar
Capgemini Engineering (Candor Techspace),"ground floor and 11th floor - building no.4 | ground floor to 13th floor - building no.5 | ground floor and 2nd floor - building no.6, it/ites special economic zone m/s candor gurugram one realty projects pvt. ltd., village tikri, sector-48, gurugram -122018 (haryana)",gurugram
Capgemini Technology Services India Limited (Gachibowli Campus),"hyderabad gachibowli survey no: 115/32&35, nanakram guda gachibowli, hyderabad telengana-500032",hyderabad
Capgemini Technology Services India Limited (Gar Office),"gar corporation pvt. ltd,tower 4, ground & 1st floor and 3rd floor to 5th floor,sy.no.107/p, kokapet village. rajenderanagar mandal, hyderabad, ranga reddy dist. hyderabad telangana - 500075",hyderabad
Capgemini Technology Services India Limited (Candor Tech Space),"candor tech space it/ites sez, tower a3 -1st to 4th floor, tower a2 - 1st floor to 2nd floor, tower a1 1st floor to 3rd floor, action area -1d, block no -dh, newtown, rajarhat, kolkata- 700156 west bengalkolkata ()",kolkata
Capgemini Technology Services India Limited (Airoli Sez),"it3 & it4 (sez), airoli knowledge park, thane belapur road, airoli, navi mumbai -400708 maharashtra",mumbai
Capgemini Technology Services India Limited (Vikhroli),"plant 5, godrej & boyce compound, gate no.2, l.b.s. marg, pirojshanagar, vikhroli (west), mumbai 400079, maharashtra",mumbai
Capgemini Technology Services India Limited (Nsez),"plot no 134 & 135, 139, 140 and 142 e & f noida special economic zone phase ii noida, 201305. uttar pradesh",noida
Capgemini Technology Services India Limited (Talwade),"a-1 technology park, midc, talwade, campus pune 411 062 maharashtra",pune
Capgemini Technology Services India Limited (Hinjewadi),"rajiv gandhi infotech park, plot no.14, phase iii midc sez, village man taluka, mulshi, haveli hinjewadi, pune-411057 maharashtra",pune
Capgemini Technology Services India Limited (Pt Towers),"41/52, pt towers, suramangalam main road, 3 roads, salem-636009, tamil nadu",salem
Capgemini Technology Services India Limited (Muthiah Towers),"muthiah towers, phase2, 26/2 williams road, cantonment, trichy 620001 tamil nadu",trichy
